group,week1,week2,week3,week4,cumulative
1,4748638,7854665,21983,2028117,14653403
2,-110959,-188148,3201483,227137,3129512
3,-123692,191841,-1260400,278975,-913276
4,3460,4367984,-2608711,-2422504,-659772
5,147861,4503198,-1831644,847056,3666471
6,-105896,1203376,-466134,-458010,173336
7,95071,1802489,868289,-4271642,-1505793
8,21044,448048,1989437,266601,2725130
9,703995,869890,-393321,-1152702,27861
10,452730,-355649,-182499,416566,331148
11,808570,993087,-2625305,541285,-282364
12,-205006,1454928,-356120,1251131,2144933
